feature,importance
lag_7,0.8056620857011563
rolling_7,0.13714320502750954
lag_1,0.0235076732032946
temp_min_c,0.0064190541286011414
jour,0.0055238527837204905
temp_max_c,0.005444612835511102
temp_moyenne_c,0.00516679259336223
mois,0.0027548184055166424
puissance_souscrite_kva,0.00228953565039976
jour_semaine,0.0012966010445459035
type_client_professionnel,0.0011242524265225548
weekend,0.0006950121726455767
zone_Parc-Tertiaire,0.0005900141432783751
annee,0.00050617100875009
zone_Rives-Sud,0.0004310670720114443
zone_Centre-Ville,0.00034726700536693656
type_chauffage_reseau_chaleur,0.00032746059239579985
type_chauffage_gaz,0.00032314660003382185
type_compteur_communicant,0.00016820705348518866
type_chauffage_electrique,0.00013301693842330634
zone_Zone-Industrielle,0.00012491051858452438
type_client_residentiel,1.5782253975085187e-05
zone_Val-Nord,2.288325630165042e-06
zone_Coteaux-Ouest,1.8605392603183805e-06
zone_Plateau-Est,1.3119760191855166e-06
