id_pdl,date,consommation_kwh,zone
PDL-000001,2024-01-01,18.14,Coteaux-Ouest
PDL-000001,2024-01-02,15.01,Coteaux-Ouest
PDL-000001,2024-01-03,12.31,Coteaux-Ouest
PDL-000001,2024-01-04,,Coteaux-Ouest
PDL-000001,2024-01-05,18.79,Coteaux-Ouest
PDL-000001,2024-01-06,15.25,Coteaux-Ouest
PDL-000001,2024-01-07,17.22,Coteaux-Ouest
PDL-000001,2024-01-08,17.13,Coteaux-Ouest
PDL-000001,2024-01-09,14.02,Coteaux-Ouest
PDL-000001,2024-01-10,16.31,Coteaux-Ouest
PDL-000001,2024-01-11,14.24,Coteaux-Ouest
PDL-000001,2024-01-12,15.1,Coteaux-Ouest
PDL-000001,2024-01-13,17.73,Coteaux-Ouest
PDL-000001,2024-01-14,19.17,Coteaux-Ouest
PDL-000001,2024-01-15,17.58,Coteaux-Ouest
PDL-000001,2024-01-16,14.59,Coteaux-Ouest
PDL-000001,2024-01-17,15.71,Coteaux-Ouest
PDL-000001,2024-01-18,16.46,Coteaux-Ouest
PDL-000001,2024-01-19,14.04,Coteaux-Ouest
PDL-000001,2024-01-20,17.26,Coteaux-Ouest
PDL-000001,2024-01-21,16.77,Coteaux-Ouest
PDL-000001,2024-01-22,16.69,Coteaux-Ouest
PDL-000001,2024-01-23,13.97,Coteaux-Ouest
PDL-000001,2024-01-24,15.07,Coteaux-Ouest
PDL-000001,2024-01-25,17.88,Coteaux-Ouest
PDL-000001,2024-01-26,13.45,Coteaux-Ouest
PDL-000001,2024-01-27,20.17,Coteaux-Ouest
PDL-000001,2024-01-28,17.64,Coteaux-Ouest
PDL-000001,2024-01-29,15.94,Coteaux-Ouest
PDL-000001,2024-01-30,15.62,Coteaux-Ouest
PDL-000001,2024-01-31,15.96,Coteaux-Ouest
PDL-000001,2024-02-01,14.73,Coteaux-Ouest
PDL-000001,2024-02-02,15.71,Coteaux-Ouest
PDL-000001,2024-02-03,17.96,Coteaux-Ouest
PDL-000001,2024-02-04,15.78,Coteaux-Ouest
PDL-000001,2024-02-05,16.04,Coteaux-Ouest
PDL-000001,2024-02-06,17.47,Coteaux-Ouest
PDL-000001,2024-02-07,17.01,Coteaux-Ouest
PDL-000001,2024-02-08,16.95,Coteaux-Ouest
PDL-000001,2024-02-09,17.34,Coteaux-Ouest
PDL-000001,2024-02-10,16.27,Coteaux-Ouest
PDL-000001,2024-02-11,18.13,Coteaux-Ouest
PDL-000001,2024-02-12,16.17,Coteaux-Ouest
PDL-000001,2024-02-13,16.04,Coteaux-Ouest
PDL-000001,2024-02-14,14.17,Coteaux-Ouest
PDL-000001,2024-02-15,13.93,Coteaux-Ouest
PDL-000001,2024-02-16,13.17,Coteaux-Ouest
PDL-000001,2024-02-17,20.24,Coteaux-Ouest
PDL-000001,2024-02-18,19.02,Coteaux-Ouest
PDL-000001,2024-02-19,18.88,Coteaux-Ouest
PDL-000001,2024-02-20,16.6,Coteaux-Ouest
PDL-000001,2024-02-21,12.28,Coteaux-Ouest
PDL-000001,2024-02-22,13.31,Coteaux-Ouest
PDL-000001,2024-02-23,16.86,Coteaux-Ouest
PDL-000001,2024-02-24,12.95,Coteaux-Ouest
PDL-000001,2024-02-25,16.82,Coteaux-Ouest
PDL-000001,2024-02-26,13.75,Coteaux-Ouest
PDL-000001,2024-02-27,14.52,Coteaux-Ouest
PDL-000001,2024-02-28,13.22,Coteaux-Ouest
PDL-000001,2024-02-29,15.3,Coteaux-Ouest
PDL-000001,2024-03-01,13.64,Coteaux-Ouest
PDL-000001,2024-03-02,15.42,Coteaux-Ouest
PDL-000001,2024-03-03,13.76,Coteaux-Ouest
PDL-000001,2024-03-04,15,Coteaux-Ouest
PDL-000001,2024-03-05,14.16,Coteaux-Ouest
PDL-000001,2024-03-06,14.35,Coteaux-Ouest
PDL-000001,2024-03-07,16.18,Coteaux-Ouest
PDL-000001,2024-03-08,14.12,Coteaux-Ouest
PDL-000001,2024-03-09,13.66,Coteaux-Ouest
PDL-000001,2024-03-10,14.39,Coteaux-Ouest
PDL-000001,2024-03-11,13.68,Coteaux-Ouest
PDL-000001,2024-03-12,16.2,Coteaux-Ouest
PDL-000001,2024-03-13,14.74,Coteaux-Ouest
PDL-000001,2024-03-14,13.4,Coteaux-Ouest
PDL-000001,2024-03-15,12.31,Coteaux-Ouest
PDL-000001,2024-03-16,11.37,Coteaux-Ouest
PDL-000001,2024-03-17,14.29,Coteaux-Ouest
PDL-000001,2024-03-18,14.58,Coteaux-Ouest
PDL-000001,2024-03-19,15.33,Coteaux-Ouest
PDL-000001,2024-03-20,14.51,Coteaux-Ouest
PDL-000001,2024-03-21,11.51,Coteaux-Ouest
PDL-000001,2024-03-22,16.11,Coteaux-Ouest
PDL-000001,2024-03-23,12.26,Coteaux-Ouest
PDL-000001,2024-03-24,13.39,Coteaux-Ouest
PDL-000001,2024-03-25,12.73,Coteaux-Ouest
PDL-000001,2024-03-26,13.5,Coteaux-Ouest
PDL-000001,2024-03-27,13.99,Coteaux-Ouest
PDL-000001,2024-03-28,15.04,Coteaux-Ouest
PDL-000001,2024-03-29,14.15,Coteaux-Ouest
