horodatage,utilisateur,source_ip,systeme,type_evenement,resultat,type_alerte,criticite
,a.bernard,203.0.113.45,,,,BRUTE_FORCE,Haute
2026-03-01 00:23:27,m.roux,10.20.11.131,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 06:41:19,n.faure,10.20.5.78,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 07:22:35,p.garcia,10.20.5.77,serveur_bi,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 07:45:52,f.petit,10.20.12.192,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 08:24:48,p.garcia,10.20.7.109,active_directory,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 09:02:40,j.morel,10.20.7.237,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 09:04:25,l.henry,10.20.2.28,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 12:02:43,l.henry,10.20.9.185,serveur_bi,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 12:06:36,c.dubois,10.20.4.118,active_directory,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 12:19:54,p.garcia,10.20.0.16,active_directory,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 16:04:22,e.blanc,10.20.9.173,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 16:31:55,e.blanc,10.20.10.131,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 17:06:11,t.robin,10.20.1.214,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 17:25:23,e.blanc,10.20.7.133,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 18:13:24,c.dubois,10.20.2.113,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-01 19:02:12,s.leroy,10.20.6.48,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 04:38:55,f.petit,10.20.5.34,active_directory,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 05:24:52,s.leroy,10.20.0.100,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 07:01:03,l.henry,10.20.3.13,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 07:31:29,p.garcia,10.20.11.149,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 07:46:51,p.garcia,10.20.0.197,serveur_bi,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 11:50:51,p.garcia,10.20.2.50,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 15:41:27,t.robin,10.20.7.94,serveur_bi,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 17:38:54,prestataire_ext,10.20.11.227,serveur_bi,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 18:30:06,l.henry,10.20.10.102,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 18:33:00,n.faure,10.20.12.228,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 19:42:00,t.robin,10.20.9.121,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-02 23:33:42,a.bernard,10.20.1.137,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 06:23:08,prestataire_ext,10.20.2.205,scada,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 07:44:22,a.bernard,10.20.11.40,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 10:16:23,f.petit,10.20.10.230,active_directory,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 10:18:52,a.bernard,10.20.6.188,scada,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 10:57:27,t.robin,10.20.1.34,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 11:00:31,admin.sys,10.20.4.39,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 11:54:58,s.leroy,10.20.7.172,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 15:39:05,c.dubois,10.20.8.26,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 15:56:58,admin.sys,10.20.3.104,serveur_bi,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 16:04:22,f.petit,10.20.4.247,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 17:15:18,j.morel,10.20.12.116,scada,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 19:02:47,e.blanc,10.20.1.30,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-03 19:46:21,a.bernard,10.20.7.14,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 08:35:21,t.robin,10.20.10.182,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 11:27:38,n.faure,10.20.8.79,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 12:25:02,n.faure,10.20.3.31,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 13:33:15,n.faure,10.20.4.156,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 14:55:52,a.bernard,10.20.8.121,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 15:41:10,t.robin,10.20.4.44,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 16:29:02,admin.sys,10.20.6.127,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 16:29:06,c.dubois,10.20.7.26,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 18:17:58,e.blanc,10.20.7.98,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 19:35:34,j.morel,10.20.7.117,portail_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 19:45:12,svc_batch,10.20.10.106,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 19:47:44,n.faure,10.20.7.110,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-04 22:28:49,prestataire_ext,10.20.4.251,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-05 00:02:56,f.petit,10.20.1.111,plateforme_data,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-05 02:09:14,f.petit,10.20.1.150,scada,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-05 07:33:36,l.henry,10.20.2.155,active_directory,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-05 08:30:56,l.henry,10.20.9.136,serveur_bi,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-05 08:53:12,p.garcia,10.20.11.52,vpn,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-05 09:43:35,p.garcia,10.20.6.207,serveur_bi,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-05 09:46:46,l.henry,10.20.9.180,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
2026-03-05 10:09:56,t.robin,10.20.11.60,api_espace_client,export_donnees,succes,EXPORT_DONNEES,Haute
